StartPop99 GenomLen20 GenMutRate11.0 RecombRate0.3 BurstSize10 SimLimit30
Gen	Pop	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20
15	103	0.47572815534	0.436893203883	0.47572815534	0.417475728155	0.456310679612	0.398058252427	0.378640776699	0.427184466019	0.466019417476	0.436893203883	0.436893203883	0.359223300971	0.417475728155	0.485436893204	0.378640776699	0.330097087379	0.417475728155	0.378640776699	0.388349514563	0.436893203883
16	110	0.427272727273	0.381818181818	0.472727272727	0.4	0.4	0.372727272727	0.409090909091	0.454545454545	0.436363636364	0.427272727273	0.481818181818	0.372727272727	0.463636363636	0.390909090909	0.427272727273	0.454545454545	0.509090909091	0.4	0.463636363636	0.445454545455
17	123	0.471544715447	0.414634146341	0.471544715447	0.463414634146	0.471544715447	0.463414634146	0.430894308943	0.430894308943	0.447154471545	0.382113821138	0.520325203252	0.439024390244	0.430894308943	0.373983739837	0.430894308943	0.430894308943	0.382113821138	0.471544715447	0.455284552846	0.39837398374
18	109	0.45871559633	0.385321100917	0.412844036697	0.394495412844	0.403669724771	0.376146788991	0.422018348624	0.366972477064	0.43119266055	0.422018348624	0.412844036697	0.394495412844	0.412844036697	0.48623853211	0.45871559633	0.43119266055	0.45871559633	0.403669724771	0.440366972477	0.440366972477
19	176	0.392045454545	0.403409090909	0.448863636364	0.4375	0.420454545455	0.431818181818	0.431818181818	0.528409090909	0.454545454545	0.460227272727	0.5	0.505681818182	0.460227272727	0.346590909091	0.403409090909	0.420454545455	0.397727272727	0.4375	0.409090909091	0.505681818182
20	275	0.403636363636	0.414545454545	0.421818181818	0.443636363636	0.432727272727	0.469090909091	0.458181818182	0.352727272727	0.465454545455	0.458181818182	0.4	0.410909090909	0.425454545455	0.396363636364	0.414545454545	0.450909090909	0.432727272727	0.44	0.436363636364	0.4
21	387	0.439276485788	0.439276485788	0.475452196382	0.37984496124	0.46511627907	0.377260981912	0.426356589147	0.483204134367	0.418604651163	0.488372093023	0.449612403101	0.449612403101	0.452196382429	0.392764857881	0.40826873385	0.452196382429	0.377260981912	0.416020671835	0.426356589147	0.416020671835
22	448	0.450892857143	0.444196428571	0.424107142857	0.473214285714	0.417410714286	0.455357142857	0.383928571429	0.397321428571	0.453125	0.408482142857	0.410714285714	0.457589285714	0.446428571429	0.453125	0.484375	0.421875	0.504464285714	0.430803571429	0.444196428571	0.455357142857
23	496	0.415322580645	0.445564516129	0.421370967742	0.429435483871	0.453629032258	0.465725806452	0.403225806452	0.45564516129	0.441532258065	0.433467741935	0.399193548387	0.463709677419	0.429435483871	0.435483870968	0.39314516129	0.409274193548	0.403225806452	0.41935483871	0.405241935484	0.413306451613
24	499	0.458917835671	0.422845691383	0.428857715431	0.454909819639	0.432865731463	0.416833667335	0.446893787575	0.412825651303	0.396793587174	0.444889779559	0.450901803607	0.376753507014	0.422845691383	0.426853707415	0.456913827655	0.436873747495	0.422845691383	0.39879759519	0.424849699399	0.420841683367
25	503	0.403578528827	0.433399602386	0.451292246521	0.433399602386	0.435387673956	0.429423459245	0.451292246521	0.419483101392	0.417495029821	0.433399602386	0.41550695825	0.423459244533	0.467196819085	0.423459244533	0.427435387674	0.44731610338	0.459244532803	0.431411530815	0.457256461233	0.433399602386
26	494	0.447368421053	0.417004048583	0.408906882591	0.392712550607	0.427125506073	0.429149797571	0.372469635628	0.435222672065	0.46963562753	0.449392712551	0.437246963563	0.423076923077	0.384615384615	0.449392712551	0.441295546559	0.412955465587	0.410931174089	0.429149797571	0.408906882591	0.390688259109
27	595	0.463865546218	0.413445378151	0.423529411765	0.455462184874	0.453781512605	0.425210084034	0.460504201681	0.448739495798	0.394957983193	0.457142857143	0.475630252101	0.416806722689	0.43025210084	0.421848739496	0.431932773109	0.41512605042	0.436974789916	0.426890756303	0.426890756303	0.458823529412
28	611	0.433715220949	0.402618657938	0.425531914894	0.468085106383	0.47790507365	0.382978723404	0.402618657938	0.407528641571	0.430441898527	0.430441898527	0.392798690671	0.446808510638	0.446808510638	0.454991816694	0.454991816694	0.436988543372	0.441898527005	0.417348608838	0.400981996727	0.415711947627
29	728	0.40521978022	0.406593406593	0.450549450549	0.424450549451	0.40521978022	0.417582417582	0.414835164835	0.425824175824	0.432692307692	0.447802197802	0.438186813187	0.395604395604	0.457417582418	0.391483516484	0.438186813187	0.440934065934	0.468406593407	0.418956043956	0.43956043956	0.406593406593
30	997	0.413239719157	0.43630892678	0.43630892678	0.430290872618	0.445336008024	0.427281845537	0.448345035105	0.39518555667	0.427281845537	0.438314944835	0.446339017051	0.442326980943	0.456369107322	0.439317953862	0.415245737212	0.438314944835	0.425275827482	0.422266800401	0.423269809428	0.422266800401
